date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.0,67,9,0.0
01/ENE/2022,03Hs,23.5,34,8,0.0
01/ENE/2022,06Hs,22.8,50,9,0.0
01/ENE/2022,09Hs,32.0,31,15,0.0
01/ENE/2022,12Hs,39.0,31,14,0.0
01/ENE/2022,15Hs,42.1,39,13,0.0
01/ENE/2022,18Hs,41.3,58,12,0.0
01/ENE/2022,21Hs,31.3,72,10,0.0
02/ENE/2022,00Hs,28.2,80,11,0.0
02/ENE/2022,03Hs,27.6,47,12,0.0
02/ENE/2022,06Hs,27.7,26,15,0.0
02/ENE/2022,09Hs,33.4,358,19,0.0
02/ENE/2022,12Hs,40.3,345,19,0.0
02/ENE/2022,15Hs,41.9,344,15,0.0
02/ENE/2022,18Hs,22.6,257,7,4.1
02/ENE/2022,21Hs,23.8,290,12,1.1
03/ENE/2022,00Hs,22.1,99,14,0.5
03/ENE/2022,03Hs,21.8,54,7,0.8
03/ENE/2022,06Hs,21.0,40,10,2.7
03/ENE/2022,09Hs,23.6,46,11,0.0
03/ENE/2022,12Hs,34.2,356,12,0.0
03/ENE/2022,15Hs,29.4,16,21,0.0
03/ENE/2022,18Hs,26.6,341,9,0.0
03/ENE/2022,21Hs,25.2,30,8,0.0
04/ENE/2022,00Hs,23.1,14,10,0.0
04/ENE/2022,03Hs,21.9,9,8,0.0
04/ENE/2022,06Hs,21.6,3,6,0.0
04/ENE/2022,09Hs,28.2,6,8,0.0
04/ENE/2022,12Hs,37.7,289,3,0.0
04/ENE/2022,15Hs,40.0,186,6,0.0
04/ENE/2022,18Hs,38.1,144,10,0.0
04/ENE/2022,21Hs,28.1,235,13,0.0
05/ENE/2022,00Hs,22.9,244,11,1.3
05/ENE/2022,03Hs,22.2,112,11,2.3
05/ENE/2022,06Hs,22.5,345,3,0.0
05/ENE/2022,09Hs,23.4,215,8,0.0
05/ENE/2022,12Hs,35.3,122,8,0.0
05/ENE/2022,15Hs,24.3,307,17,1.4
05/ENE/2022,18Hs,25.0,341,4,0.8
05/ENE/2022,21Hs,24.0,145,8,0.0
