date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.3,40,12,0.0
01/ENE/2022,03Hs,21.3,81,7,1.1
01/ENE/2022,06Hs,19.3,102,12,0.9
01/ENE/2022,09Hs,23.8,58,10,0.6
01/ENE/2022,12Hs,30.1,46,14,1.1
01/ENE/2022,15Hs,36.7,82,19,0.0
01/ENE/2022,18Hs,35.7,84,23,0.0
01/ENE/2022,21Hs,23.0,267,36,1.4
02/ENE/2022,00Hs,21.2,17,12,7.9
02/ENE/2022,03Hs,19.5,249,7,0.0
02/ENE/2022,06Hs,19.6,50,4,0.1
02/ENE/2022,09Hs,25.1,74,5,0.2
02/ENE/2022,12Hs,33.9,2,15,0.0
02/ENE/2022,15Hs,39.0,325,15,0.0
02/ENE/2022,18Hs,39.6,289,9,0.0
02/ENE/2022,21Hs,27.6,195,16,0.0
03/ENE/2022,00Hs,26.4,151,26,0.0
03/ENE/2022,03Hs,21.4,143,16,0.0
03/ENE/2022,06Hs,19.7,140,11,0.0
03/ENE/2022,09Hs,25.5,133,11,0.0
03/ENE/2022,12Hs,33.7,127,8,0.0
03/ENE/2022,15Hs,38.7,47,11,0.0
03/ENE/2022,18Hs,38.9,13,13,0.0
03/ENE/2022,21Hs,30.8,16,6,0.0
04/ENE/2022,00Hs,20.5,168,22,2.5
04/ENE/2022,03Hs,20.9,110,14,3.8
04/ENE/2022,06Hs,21.1,237,10,0.2
04/ENE/2022,09Hs,24.9,181,22,0.0
04/ENE/2022,12Hs,31.9,216,8,0.0
04/ENE/2022,15Hs,35.0,174,19,0.0
04/ENE/2022,18Hs,35.9,169,22,0.0
04/ENE/2022,21Hs,27.9,179,15,0.0
05/ENE/2022,00Hs,26.2,161,21,0.0
05/ENE/2022,03Hs,22.4,133,27,0.0
05/ENE/2022,06Hs,18.4,119,24,0.0
05/ENE/2022,09Hs,22.2,114,22,0.0
05/ENE/2022,12Hs,29.3,127,14,0.0
05/ENE/2022,15Hs,33.7,157,19,0.0
05/ENE/2022,18Hs,33.2,156,19,0.0
05/ENE/2022,21Hs,25.6,151,15,0.0
